scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,thaiRating,thaiDate,thaiAuthor,thaiAuthorKarma
SCP-901-TH,/scp-901-th,The Giant Head,+15,30 Jul 2018 14:35,Bonneneige,high,+21,14 Nov 2016 07:31,DrSSS,very high
SCP-747-TH,/scp-747-th,The Black Box,+10,02 Mar 2018 08:36,DrSSS,very high,+16,05 Sep 2013 02:42,DrSSS,very high
SCP-072-TH,/scp-072-th,The Castle Guards,+13,01 Jan 2018 00:46,ThePaperMask,very high,+21,17 May 2018 07:29,DrSSS,very high
SCP-009-TH,/scp-009-th,Human Anatomy Model,"+3,+3,+3,+3",09 Jan 2019 08:30,DrSSS,very high,+22,28 Aug 2013 10:04,DrSSS,very high
SCP-001-TH,/scp-001-th,Awaiting De-classification [Blocked],,15 Jan 2018 08:31,Bonneneige,high,,05 Aug 2013 09:54,DrSSS,very high
