scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,russianRating,russianDate,russianAuthor,russianAuthorKarma,kld
SCP-1345-RU,/scp-1345-ru,Make yourself at home,12,29 Apr 2019 19:37,Agent Lloyd,high,38,26 Mar 2019 19:10,Agent Lloyd,high,0.6445953842304672
SCP-1311-RU,/scp-1311-ru,"In the blue sea, in white foam",1,02 Mar 2019 18:00,Agent Lloyd,high,41,21 Aug 2018 15:44,Agent Lloyd,high,0.6250400550550507
SCP-1238-RU,/scp-1238-ru,The Twist Brothers,2,10 Aug 2018 21:32,LanceRadioactive,low,21,25 Apr 2015 09:30,Jukka Sarasti,very high,0.7817024326250489
SCP-1184-RU,/scp-1184-ru,The Mine,4,05 Oct 2018 08:03,Gene R,guru,33,16 Mar 2013 07:17,AllRight,high,0.6965932255236389
SCP-1092-RU,/scp-1092-ru,Web of Words,13,21 Apr 2018 15:45,jekyllgrim,none,173,12 May 2012 04:10,Wiiskey,high,0.3229097155477429
SCP-1054-RU,/scp-1054-ru,The Flock,4,13 May 2017 12:37,Osobist,guru,24,16 Dec 2011 18:46,Osobist,guru,0.5370936361757366
SCP-1040-RU,/scp-1040-ru,Upgraded SVD,11,13 May 2017 18:22,Afro Gufo,very high,35,07 Mar 2011 18:45,Ged_Malburg,very high,0.3715840645704845
SCP-1002-RU,/scp-1002-ru,"Radio ""The Truth""",4,18 Apr 2018 05:18,Sarah PZ,medium,41,22 Feb 2011 17:01,Teomant,medium,0.317071629633203
